id,title,type,appeared,creators,rank,file_extensions,indentation,users,jobs
1620sps,IBM 1620,assembly,1959,NA,865,NA,NA,320,0
abap,ABAP,programming,1983,NA,134,abap,FALSE,2416,283
abc,ABC,programming,1980,NA,403,NA,TRUE,625,0
abnf,Augmented Backus-Naur Form,grammarLanguage,2008,NA,427,abnf,FALSE,475,0
act-iii,ACT-III,programming,1956,NA,598,NA,NA,205,0
action,Action!,programming,1983,NA,505,NA,FALSE,95,0
actionscript,ActionScript,programming,1998,Gary Grossman,53,as,FALSE,1630,88
activevfp,ActiveVFP,programming,2001,NA,830,NA,FALSE,85,0
activity-pub,ActivityPub,protocol,2018,Christine Lemmer-Webber and Jessica Tallon and Erin Shepherd and Amy Guy and Evan Prodromou,777,NA,NA,935,0
ada,Ada,programming,1980,Jean Ichbiah,21,adb ada ads,FALSE,12116,2184
agda,Agda,programming,2007,Ulf Norell and Catarina Coquand,172,agda,FALSE,731,0
aith,Aith,programming,2020,Superstar64,547,NA,NA,43,0
al,AL,programming,2016,Microsoft,993,NA,NA,1295,0
aldor,Aldor,programming,1990,Richard Dimick Jenks and Barry Trager and Stephen Watt and James Davenport and Robert Sutor and Scott Morrison,637,NA,TRUE,81,0
alef,ALEF,programming,1992,Phil Winterbottom,814,NA,NA,215,0
algol,Algol,programming,1958,NA,160,NA,NA,1635,0
algol-58,ALGOL 58,programming,1958,NA,499,NA,NA,410,0
algol-60,ALGOL 60,programming,1960,John Backus and Friedrich L. Bauer and Julien Green and Charles Katz and John McCarthy and Peter Naur and Alan Perlis and Heinz Rutishauser and Klaus Samelson and Adriaan van Wijngaarden and Bernard Vauquois and Joseph Henry Wegstein and Michael Woodger,239,NA,FALSE,1260,0
algol-68,ALGOL 68,programming,1968,NA,386,NA,NA,625,0
algol-w,ALGOL W,programming,1966,NA,457,NA,NA,165,0
alice,Alice,programming,2000,NA,618,NA,NA,261,0
alloy,Alloy,programming,1997,NA,300,als,FALSE,376,0
almquist-shell,Almquist shell,programming,1989,NA,781,NA,NA,515,0
alpine-abuild,Alpine Abuild,programming,2006,NA,807,NA,FALSE,200,0
altair-basic,Altair BASIC,programming,1975,NA,411,NA,NA,825,0
ampl,AMPL,programming,1985,Robert Fourer and David Gay and Brian Kernighan,136,ampl mod,FALSE,766,3
amqp,Advanced Message Queuing Protocol,protocol,2003,NA,549,NA,NA,2250,0
angelscript,Angelscript,programming,2003,Andreas Jönsson,563,as angelscript,FALSE,366,0
ante,Ante,programming,2015,Jake Fecher,743,NA,NA,1569,0
antlr,ANTLR,grammarLanguage,1992,NA,118,g4,FALSE,3048,30
apache-cassandra,Apache Cassandra,database,2008,NA,841,NA,NA,2474,0
apache-velocity,Velocity,template,2003,NA,561,NA,NA,481,0
apex,Apex,programming,2007,NA,653,cls,FALSE,201,0
api-blueprint,API Blueprint,programming,2013,NA,262,apib,FALSE,15183,0
apl,APL,programming,1964,Kenneth E. Iverson,90,apl dyalog,FALSE,3670,0
apollo-guidance-computer,AGC,assembly,1966,NA,249,agc,FALSE,3025,0
applescript,Applescript,programming,1993,NA,128,applescript scpt,FALSE,1221,6
applesoft-basic,Applesoft BASIC,programming,1979,NA,672,NA,NA,300,0
apt,Automatically Programmed Tool,programming,1956,NA,742,NA,NA,340,0
arabic-numerals,Hindu-Arabic numeral system,numeralSystem,825,NA,789,NA,NA,3300,0
arc,Arc,programming,2001,Paul Graham and Robert Morris,235,arc,NA,431,0
arc-isa,ARC processor,isa,1995,NA,791,NA,NA,505,0
arden-syntax,Arden syntax,dataNotation,1992,NA,952,NA,FALSE,20,0
arduino,Arduino Programming Language,programming,2005,NA,26,NA,NA,527398,598
arexx,ARexx,programming,1987,NA,616,NA,FALSE,135,0
argdown,Argdown,textMarkup,2014,NA,467,NA,TRUE,645,0
arkscript,ArkScript,programming,2019,Alexandre Plateau and Pierre Pharel and Natendrtfm,728,NA,FALSE,580,0
arm,ARM,assembly,1985,Sophie Wilson and Steve Furber and Acorn Computers,29,NA,FALSE,123423,7695
asciidoc,AsciiDoc,textMarkup,2002,NA,326,asciidoc adoc asc,NA,666,0
asciidots,AsciiDots,esolang,2017,Aaron Janse,737,NA,NA,1157,0
asciimath,AsciiMath,textMarkup,2014,Peter Krautzberger,969,NA,NA,1447,0
asmjs,Asm.js,ir,2013,NA,482,NA,NA,901,0
asn-1,ASN.1,idl,1984,NA,341,asn asn1,NA,2060,0
asp,ASP,template,1996,NA,72,asp asax ascx ashx asmx aspx axd,NA,1865,9630
aspectj,AspectJ,programming,2001,NA,383,aj,FALSE,661,0
assembly-language,Assembly language,assembly,1960,NA,37,asm a51 i inc nas nasm,NA,26543,1329
assemblyscript,AssemblyScript,programming,2017,NA,548,NA,NA,15970,0
atari-basic,Atari BASIC,programming,1983,NA,673,NA,NA,290,0
atmel-avr,Atmel AVR,programming,1996,NA,396,NA,NA,775,0
ats,ATS,programming,2013,Hongwei Xi,278,dats hats sats,FALSE,576,0
autocode,Autocode,programming,1954,NA,964,NA,NA,255,0
autohotkey,AutoHotkey,programming,2003,NA,316,ahk ahkl,FALSE,1761,0
autoit,AutoIt,programming,1999,Jonathan Bennett,183,au3,FALSE,1011,0
autolisp,AutoLISP,programming,1986,David Betz,288,NA,NA,430,0
awk,awk,programming,1977,Alfred Aho and Peter J. Weinberger and Brian Kernighan,60,awk auk gawk mawk nawk,FALSE,4680,7
axiom,AXIOM,programming,1992,NA,256,NA,NA,4990,0
b,B,programming,1969,Ken Thompson and Dennis Ritchie,293,NA,FALSE,1380,0
ballerina,Ballerina,programming,2015,Sanjiva Weerawarana and James Clark and Sameera Jayasoma and Hasitha Aravinda and Srinath Perera and Frank Leymann,176,bal,FALSE,6576,0
base64,Base64,textEncodingFormat,1987,NA,292,NA,NA,12030,0
bash,Bash,programming,1989,Brian Fox,39,sh bash bats cgi command env fcgi ksh shin tmux tool zsh zsh-theme,FALSE,61747,4774
basic,BASIC,programming,1964,John G. Kemeny and Thomas E. Kurtz,59,bas,FALSE,7025,0
